Feature,SHAP_Raw,IG_Raw,Permutation_Raw,LIME_Raw,SHAP_Norm,LIME_Norm,IG_Norm,Permutation_Norm,Rank_SHAP,Rank_LIME,Rank_IG,Rank_Permutation,Consensus_Score,Consensus_Rank
PaperlessBilling_Yes,0.0037095259225607,0.10138322,-0.0003173837102409,0.0,0.05386392464965031,0.0,0.21711145444204855,0.02350770270357832,21,11,12,42,0.0736207704488193,16
PaymentMethod_Electronic check,0.0067542985329585,0.07594775,-0.0003821934179077,0.0,0.0980753430048492,0.0,0.1585672166174915,0.021675427368474772,11,11,17,43,0.06957949674770388,17
TechSupport_No internet service,0.0045944301368654,0.06075501,0.0011343997058282,0.0,0.06671311748897774,0.0,0.1235984354718449,0.06455196969598212,18,11,22,14,0.0637158806642012,18
Partner_No,0.0004955937883864,0.077211,0.0018438591652876,0.0,0.007196236670601938,0.0,0.16147481016429335,0.0846095369281402,29,11,15,11,0.06332014594075887,19
DeviceProtection_No internet service,0.0061247542151193,0.053304702,0.000521005699577,0.0,0.08893408657273395,0.0,0.10645023245384681,0.04721032831514674,14,11,24,23,0.060648661835431876,20
OnlineSecurity_Yes,0.0067818608714799,0.04038782,0.0010691303548445,0.0,0.09847556010975084,0.0,0.07671974145998116,0.0627066995003427,10,11,30,15,0.059475500267518674,21
num_active_services,0.0002396972820186,0.080321215,0.0006906140834711,0.0,0.0034805084549627066,0.0,0.16863352068332466,0.0520054318516981,33,11,14,20,0.05602986524749636,22
PaperlessBilling_No,0.0065774360184912,0.041748527,0.0004858429858429,0.0,0.09550722261656029,0.0,0.0798516495480778,0.04621622148439949,13,11,28,24,0.055393773412259394,23
StreamingMovies_No,0.0012419361161908,0.06531888,0.0010038610038609,0.0,0.018033450844846057,0.0,0.1341029903584014,0.06086142930470611,24,11,19,16,0.053249467626988393,24
PhoneService_Yes,0.0,0.07588722,0.0002387847030704,0.0,0.0,0.0,0.15842789610501348,0.03923148394809701,41,11,18,31,0.04941484501327762,25
OnlineBackup_No,0.0019193160370208,0.050371088,0.000457804743519,0.0,0.027869300971372888,0.0,0.0996980004053944,0.04542353499190887,23,11,26,25,0.04324770909216904,26
is_auto_payment,0.0027435568835836,0.06212253,-0.0010698198198198,0.0,0.03983763541066299,0.0,0.12674602488575543,0.0022351160116167953,22,11,21,46,0.0422046940770088,27
gender_Male,0.0008492321194623,0.056339417,9.42268799404289e-06,0.0,0.012331218556683817,0.0,0.11343516635480287,0.03274704854229838,27,11,23,35,0.03962835836344627,28
OnlineBackup_Yes,0.0001420387159362,0.045381032,0.0005782312925169,0.0,0.0020624637358617544,0.0,0.0882125029790894,0.04882818845146344,36,11,27,21,0.03477578879160365,29
MultipleLines_Yes,0.0001703187674049,0.050541285,2.9646993932641585e-05,0.0,0.002473102343920535,0.0,0.10008973893607717,0.033318822405735596,35,11,25,34,0.03397041592143332,30
gender_Female,5.328358227934815e-05,0.038975433,0.0003527762456333,0.0,0.0007737007156367399,0.0,0.07346888270139275,0.04245420936019452,40,11,31,28,0.029174198194306004,31
PaymentMethod_Mailed check,0.0007544141163941,0.032147095,-5.056076484688532e-06,0.0,0.010954420044066802,0.0,0.05775225376477549,0.03233771043552055,28,11,32,37,0.025261096061090713,32
DeviceProtection_No,0.0002459003182746,0.040616326,-0.0009811086596801,0.0,0.0035705792307079774,0.0,0.07724568847839043,0.0047431240944191665,32,11,29,45,0.021389847950879393,33
OnlineSecurity_No internet service,0.0,0.021374274,0.0004106913035483,0.0,0.0,0.0,0.03295669879113504,0.04409156178730797,41,11,36,26,0.019262065144610752,34
DeviceProtection_Yes,0.0,0.016322164,0.0007655359441073,0.0,0.0,0.0,0.021328373096511633,0.05412359411852309,41,11,42,19,0.01886299180375868,35
PaymentMethod_Bank transfer (automatic),0.0002932816312351,0.020164385,0.0002397039897039,0.0,0.004258576436923514,0.0,0.030171925033963834,0.039257473669160284,31,11,38,30,0.018421993785011907,36
PhoneService_No,0.0011224296805182,0.01412882,0.0002987681559109,0.0,0.016298165587215706,0.0,0.016280003525708922,0.04092731324760635,25,11,44,29,0.018376370590132744,37
OnlineBackup_No internet service,0.0009618266458609,0.011774524,0.0005550193050192,0.0,0.013966139895017722,0.0,0.010861174428648661,0.04817194799456419,26,11,45,22,0.01824981557955764,38
InternetService_No,0.0,0.0245824,-0.0002534932892076,0.0,0.0,0.0,0.04034076881284665,0.02531398831761859,41,11,34,40,0.01641368928261631,39
StreamingTV_No internet service,0.0001916901327134,0.015397048,0.0003883986026842,0.0,0.0027834238336926173,0.0,0.01919905482091842,0.04346131105147482,34,11,43,27,0.016360947426521465,40
PaymentMethod_Credit card (automatic),0.0,0.019036913,0.0001657014157013,0.0,0.0,0.0,0.027576848595096026,0.03716530112340139,41,11,41,32,0.016185537429624353,41
Dependents_Yes,0.0,0.01927074,0.0001128424342709,0.0,0.0,0.0,0.02811504283714474,0.03567089216214584,41,11,40,33,0.015946483749822646,42
StreamingMovies_Yes,0.0003283729413591,0.021285696,-0.0003134767420482,0.0,0.004768117473658436,0.0,0.03275282084046129,0.02361815901810642,30,11,37,41,0.015284774333056536,43
Partner_Yes,0.0001150864618646,0.02523229,-0.0005552491266777,0.0,0.0016711053216715275,0.0,0.041836605717759406,0.01678286237792836,38,11,33,44,0.015072643354339825,44
StreamingTV_No,5.93091873073516e-05,0.01944758,-9.07795550652568e-05,0.0,0.0008611951130267129,0.0,0.028522071408541082,0.029914168946181076,39,11,39,39,0.014824358866937217,45
StreamingMovies_No internet service,0.0,0.0086193755,8.733223018864145e-06,0.0,0.0,0.0,0.003599041503414947,0.03272755625149941,41,11,46,36,0.009081649438728589,46
MultipleLines_No phone service,0.0001254822452774,0.007055715,-7.699025556171524e-05,0.0,0.0018220566038867501,0.0,0.0,0.03030401476215962,37,11,47,38,0.008031517841511593,47
